id,a_name,b_name,a_score,b_score,season,pday,dt,a_sn,b_sn,uur
4008205,Olympic Charleroi,RSC Anderlecht,0,7,1960,1,1960-09-04,246,35,15:00:00
4008203,Sint-Truidense VV,Standard Luik,0,2,1960,1,1960-09-04,373,16,15:00:00
4008204,KSC Eendracht Aalst,R Antwerp FC,3,2,1960,1,1960-09-04,90,1,15:00:00
4008206,Royal Beerschot AC,Stade Verviétois,1,0,1960,1,1960-09-04,3530,8,15:00:00
4008207,Club Brugge,Union Saint-Gilloise,1,2,1960,1,1960-09-04,3,10,15:00:00
4008208,Daring Club Brussel,K Patro Eisden,2,1,1960,1,1960-09-04,2,3434,15:00:00
4008209,RFC Luik,Association Royale Athlétique Gent,2,1,1960,1,1960-09-04,4,7,15:00:00
4008210,Waterschei SV THOR (- 1988),Lierse SK (- 2018),5,0,1960,1,1960-09-04,553,30,15:00:00
4008212,RSC Anderlecht,RFC Luik,2,3,1960,2,1960-09-11,35,4,15:00:00
4008213,R Antwerp FC,Daring Club Brussel,2,3,1960,2,1960-09-11,1,2,15:00:00
4008214,Association Royale Athlétique Gent,Royal Beerschot AC,3,0,1960,2,1960-09-11,7,3530,15:00:00
4008215,K Patro Eisden,Club Brugge,1,1,1960,2,1960-09-11,3434,3,15:00:00
4008216,Lierse SK (- 2018),Olympic Charleroi,1,0,1960,2,1960-09-11,30,246,15:00:00
4008217,Union Saint-Gilloise,Sint-Truidense VV,3,0,1960,2,1960-09-11,10,373,15:00:00
4008218,Stade Verviétois,Waterschei SV THOR (- 1988),1,3,1960,2,1960-09-11,8,553,15:00:00
4008211,Standard Luik,KSC Eendracht Aalst,3,0,1960,2,1960-09-11,16,90,15:00:00
4008221,Union Saint-Gilloise,R Antwerp FC,0,1,1960,3,1960-09-18,10,1,15:00:00
4008222,Royal Beerschot AC,Lierse SK (- 2018),3,0,1960,3,1960-09-18,3530,30,15:00:00
4008223,Club Brugge,Stade Verviétois,1,1,1960,3,1960-09-18,3,8,15:00:00
4008224,Daring Club Brussel,Association Royale Athlétique Gent,3,1,1960,3,1960-09-18,2,7,15:00:00
4008225,Sint-Truidense VV,K Patro Eisden,2,0,1960,3,1960-09-18,373,3434,15:00:00
4008226,Waterschei SV THOR (- 1988),RFC Luik,0,1,1960,3,1960-09-18,553,4,15:00:00
4008219,Standard Luik,Olympic Charleroi,0,0,1960,3,1960-09-18,16,246,15:00:00
4008220,KSC Eendracht Aalst,RSC Anderlecht,0,0,1960,3,1960-09-18,90,35,15:00:00
4008228,Stade Verviétois,KSC Eendracht Aalst,0,4,1960,4,1960-09-25,8,90,15:00:00
4008230,R Antwerp FC,Club Brugge,0,0,1960,4,1960-09-25,1,3,15:00:00
4008234,RFC Luik,Union Saint-Gilloise,2,1,1960,4,1960-09-25,4,10,15:00:00
4008233,Association Royale Athlétique Gent,Sint-Truidense VV,3,0,1960,4,1960-09-25,7,373,15:00:00
4008231,Olympic Charleroi,Royal Beerschot AC,4,1,1960,4,1960-09-25,246,3530,15:00:00
4008229,RSC Anderlecht,Waterschei SV THOR (- 1988),3,1,1960,4,1960-09-25,35,553,15:00:00
4008227,K Patro Eisden,Standard Luik,0,3,1960,4,1960-09-25,3434,16,15:00:00
4008232,Lierse SK (- 2018),Daring Club Brussel,3,4,1960,4,1960-09-25,30,2,15:00:00
4008242,Association Royale Athlétique Gent,Olympic Charleroi,1,1,1960,5,1960-10-09,7,246,15:00:00
4008240,Daring Club Brussel,RFC Luik,1,1,1960,5,1960-10-09,2,4,15:00:00
4008239,Club Brugge,Waterschei SV THOR (- 1988),0,0,1960,5,1960-10-09,3,553,15:00:00
4008241,K Patro Eisden,Lierse SK (- 2018),0,2,1960,5,1960-10-09,3434,30,15:00:00
4008238,Royal Beerschot AC,R Antwerp FC,2,1,1960,5,1960-10-09,3530,1,15:00:00
4008237,Sint-Truidense VV,RSC Anderlecht,2,2,1960,5,1960-10-09,373,35,15:00:00
4008236,Union Saint-Gilloise,KSC Eendracht Aalst,5,2,1960,5,1960-10-09,10,90,15:00:00
4008235,Standard Luik,Stade Verviétois,5,2,1960,5,1960-10-09,16,8,15:00:00
4008250,Stade Verviétois,Union Saint-Gilloise,1,0,1960,6,1960-10-16,8,10,15:00:00
4008249,Waterschei SV THOR (- 1988),Association Royale Athlétique Gent,2,2,1960,6,1960-10-16,553,7,15:00:00
4008248,Olympic Charleroi,Daring Club Brussel,2,1,1960,6,1960-10-16,246,2,15:00:00
4008247,Club Brugge,Royal Beerschot AC,3,2,1960,6,1960-10-16,3,3530,15:00:00
4008246,R Antwerp FC,K Patro Eisden,2,2,1960,6,1960-10-16,1,3434,15:00:00
4008245,RSC Anderlecht,Lierse SK (- 2018),4,0,1960,6,1960-10-16,35,30,15:00:00
4008244,KSC Eendracht Aalst,Sint-Truidense VV,3,0,1960,6,1960-10-16,90,373,15:00:00
4008243,RFC Luik,Standard Luik,0,0,1960,6,1960-10-16,4,16,15:00:00
4008258,Union Saint-Gilloise,Olympic Charleroi,1,0,1960,7,1960-10-23,10,246,15:00:00
4008252,KSC Eendracht Aalst,Club Brugge,3,1,1960,7,1960-10-23,90,3,15:00:00
4008253,R Antwerp FC,Stade Verviétois,4,1,1960,7,1960-10-23,1,8,15:00:00
4008254,Daring Club Brussel,Royal Beerschot AC,0,0,1960,7,1960-10-23,2,3530,15:00:00
4008256,Lierse SK (- 2018),Association Royale Athlétique Gent,1,0,1960,7,1960-10-23,30,7,15:00:00
4008257,Sint-Truidense VV,RFC Luik,1,0,1960,7,1960-10-23,373,4,15:00:00
4008251,Standard Luik,RSC Anderlecht,2,1,1960,7,1960-10-23,16,35,15:00:00
4008255,K Patro Eisden,Waterschei SV THOR (- 1988),2,1,1960,7,1960-10-23,3434,553,15:00:00
4008259,Royal Beerschot AC,Standard Luik,1,2,1960,8,1960-11-06,3530,16,15:00:00
4008260,Association Royale Athlétique Gent,KSC Eendracht Aalst,1,2,1960,8,1960-11-06,7,90,15:00:00
4008261,RSC Anderlecht,Stade Verviétois,2,2,1960,8,1960-11-06,35,8,15:00:00
4008262,Waterschei SV THOR (- 1988),R Antwerp FC,3,1,1960,8,1960-11-06,553,1,15:00:00
4008263,RFC Luik,Club Brugge,1,1,1960,8,1960-11-06,4,3,15:00:00
4008264,Daring Club Brussel,Union Saint-Gilloise,1,3,1960,8,1960-11-06,2,10,15:00:00
4008265,Olympic Charleroi,K Patro Eisden,1,0,1960,8,1960-11-06,246,3434,15:00:00
4008266,Lierse SK (- 2018),Sint-Truidense VV,2,0,1960,8,1960-11-06,30,373,15:00:00
4008268,KSC Eendracht Aalst,Waterschei SV THOR (- 1988),3,1,1960,9,1960-11-13,90,553,15:00:00
4008272,Club Brugge,Daring Club Brussel,4,2,1960,9,1960-11-13,3,2,15:00:00
4008271,K Patro Eisden,Royal Beerschot AC,0,1,1960,9,1960-11-13,3434,3530,15:00:00
4008270,R Antwerp FC,Association Royale Athlétique Gent,1,3,1960,9,1960-11-13,1,7,15:00:00
4008269,Union Saint-Gilloise,RSC Anderlecht,0,2,1960,9,1960-11-13,10,35,15:00:00
4008274,Sint-Truidense VV,Olympic Charleroi,1,1,1960,9,1960-11-13,373,246,15:00:00
4008267,Standard Luik,Lierse SK (- 2018),2,1,1960,9,1960-11-13,16,30,15:00:00
4008273,Stade Verviétois,RFC Luik,0,1,1960,9,1960-11-13,8,4,15:00:00
4008280,RFC Luik,K Patro Eisden,3,1,1960,10,1960-11-27,4,3434,15:00:00
4008279,Daring Club Brussel,Stade Verviétois,2,0,1960,10,1960-11-27,2,8,15:00:00
4008278,Olympic Charleroi,Club Brugge,3,0,1960,10,1960-11-27,246,3,15:00:00
4008277,RSC Anderlecht,R Antwerp FC,3,2,1960,10,1960-11-27,35,1,15:00:00
4008276,Royal Beerschot AC,KSC Eendracht Aalst,9,2,1960,10,1960-11-27,3530,90,15:00:00
4008275,Association Royale Athlétique Gent,Standard Luik,2,1,1960,10,1960-11-27,7,16,15:00:00
4008282,Waterschei SV THOR (- 1988),Sint-Truidense VV,2,1,1960,10,1960-11-27,553,373,15:00:00
4008281,Lierse SK (- 2018),Union Saint-Gilloise,3,2,1960,10,1960-11-27,30,10,15:00:00
4008283,KSC Eendracht Aalst,K Patro Eisden,2,0,1960,11,1960-12-04,90,3434,14:45:00
4008284,RFC Luik,Royal Beerschot AC,3,2,1960,11,1960-12-04,4,3530,14:45:00
4008290,Club Brugge,Association Royale Athlétique Gent,0,1,1960,12,1960-12-11,3,7,14:45:00
4008286,KSC Eendracht Aalst,RFC Luik,2,2,1960,12,1960-12-11,90,4,14:45:00
4008287,K Patro Eisden,RSC Anderlecht,0,1,1960,12,1960-12-11,3434,35,14:45:00
4008288,R Antwerp FC,Olympic Charleroi,1,0,1960,12,1960-12-11,1,246,14:45:00
4008289,Union Saint-Gilloise,Royal Beerschot AC,1,3,1960,12,1960-12-11,10,3530,14:45:00
4008291,Sint-Truidense VV,Daring Club Brussel,1,0,1960,12,1960-12-11,373,2,14:45:00
4008292,Stade Verviétois,Lierse SK (- 2018),2,0,1960,12,1960-12-11,8,30,14:45:00
4008285,Standard Luik,Waterschei SV THOR (- 1988),1,2,1960,12,1960-12-11,16,553,14:45:00
4008297,Royal Beerschot AC,Sint-Truidense VV,1,1,1960,13,1960-12-18,3530,373,14:45:00
4008294,Lierse SK (- 2018),KSC Eendracht Aalst,3,1,1960,13,1960-12-18,30,90,14:45:00
4008293,Daring Club Brussel,Standard Luik,3,1,1960,13,1960-12-18,2,16,14:45:00
4008296,RFC Luik,R Antwerp FC,1,1,1960,13,1960-12-18,4,1,14:45:00
4008295,RSC Anderlecht,Club Brugge,0,0,1960,13,1960-12-18,35,3,14:45:00
4008300,Waterschei SV THOR (- 1988),Union Saint-Gilloise,4,0,1960,13,1960-12-18,553,10,14:45:00
4008299,Olympic Charleroi,Stade Verviétois,0,0,1960,13,1960-12-18,246,8,14:45:00
4008298,Association Royale Athlétique Gent,K Patro Eisden,1,1,1960,13,1960-12-18,7,3434,14:45:00
4008301,Royal Beerschot AC,RSC Anderlecht,1,0,1960,14,1960-12-24,3530,35,17:00:00
4008302,Association Royale Athlétique Gent,Union Saint-Gilloise,1,3,1960,14,1960-12-24,7,10,17:00:00
4008303,Sint-Truidense VV,R Antwerp FC,1,0,1960,14,1960-12-25,373,1,14:45:00
4008304,Daring Club Brussel,Waterschei SV THOR (- 1988),3,0,1960,14,1960-12-25,2,553,14:45:00
4008310,Lierse SK (- 2018),Waterschei SV THOR (- 1988),3,1,1960,16,1961-01-08,30,553,14:45:00
4008307,Union Saint-Gilloise,Club Brugge,4,1,1960,16,1961-01-08,10,3,14:45:00
4008306,RSC Anderlecht,Olympic Charleroi,1,1,1960,16,1961-01-08,35,246,14:45:00
4008305,R Antwerp FC,KSC Eendracht Aalst,5,1,1960,16,1961-01-08,1,90,14:45:00
4008309,Association Royale Athlétique Gent,RFC Luik,1,1,1960,16,1961-01-08,7,4,14:45:00
4008308,K Patro Eisden,Daring Club Brussel,0,1,1960,16,1961-01-08,3434,2,14:45:00
4008311,KSC Eendracht Aalst,Standard Luik,3,3,1960,17,1961-01-15,90,16,15:00:00
4008312,RFC Luik,RSC Anderlecht,0,0,1960,17,1961-01-15,4,35,15:00:00
4008313,Daring Club Brussel,R Antwerp FC,1,1,1960,17,1961-01-15,2,1,15:00:00
4008314,Royal Beerschot AC,Association Royale Athlétique Gent,2,0,1960,17,1961-01-15,3530,7,15:00:00
4008315,Club Brugge,K Patro Eisden,3,1,1960,17,1961-01-15,3,3434,15:00:00
4008316,Sint-Truidense VV,Union Saint-Gilloise,1,0,1960,17,1961-01-15,373,10,15:00:00
4008317,Waterschei SV THOR (- 1988),Stade Verviétois,4,0,1960,17,1961-01-15,553,8,15:00:00
4008322,Stade Verviétois,Club Brugge,0,3,1960,18,1961-01-22,8,3,15:00:00
4008325,RFC Luik,Waterschei SV THOR (- 1988),0,1,1960,18,1961-01-22,4,553,15:00:00
4008324,K Patro Eisden,Sint-Truidense VV,0,0,1960,18,1961-01-22,3434,373,15:00:00
4008323,Association Royale Athlétique Gent,Daring Club Brussel,0,1,1960,18,1961-01-22,7,2,15:00:00
4008320,R Antwerp FC,Union Saint-Gilloise,3,1,1960,18,1961-01-22,1,10,15:00:00
4008319,RSC Anderlecht,KSC Eendracht Aalst,7,0,1960,18,1961-01-22,35,90,15:00:00
4008321,Lierse SK (- 2018),Royal Beerschot AC,1,1,1960,18,1961-01-22,30,3530,15:00:00
4008318,Olympic Charleroi,Standard Luik,0,2,1960,18,1961-01-22,246,16,15:00:00
4008331,Daring Club Brussel,Lierse SK (- 2018),2,2,1960,19,1961-01-29,2,30,15:00:00
4008333,Union Saint-Gilloise,RFC Luik,0,9,1960,19,1961-01-29,10,4,15:00:00
4008330,Royal Beerschot AC,Olympic Charleroi,3,1,1960,19,1961-01-29,3530,246,15:00:00
4008329,Club Brugge,R Antwerp FC,1,1,1960,19,1961-01-29,3,1,15:00:00
4008332,Sint-Truidense VV,Association Royale Athlétique Gent,3,2,1960,19,1961-01-29,373,7,15:00:00
4008327,KSC Eendracht Aalst,Stade Verviétois,1,0,1960,19,1961-01-29,90,8,15:00:00
4008326,Standard Luik,K Patro Eisden,4,0,1960,19,1961-01-29,16,3434,15:00:00
4008328,Waterschei SV THOR (- 1988),RSC Anderlecht,2,4,1960,19,1961-01-29,553,35,15:00:00
4008341,Olympic Charleroi,Association Royale Athlétique Gent,1,1,1960,20,1961-02-05,246,7,15:00:00
4008340,Lierse SK (- 2018),K Patro Eisden,1,0,1960,20,1961-02-05,30,3434,15:00:00
4008339,RFC Luik,Daring Club Brussel,0,0,1960,20,1961-02-05,4,2,15:00:00
4008338,Waterschei SV THOR (- 1988),Club Brugge,2,1,1960,20,1961-02-05,553,3,15:00:00
4008337,R Antwerp FC,Royal Beerschot AC,3,0,1960,20,1961-02-05,1,3530,15:00:00
4008336,RSC Anderlecht,Sint-Truidense VV,1,0,1960,20,1961-02-05,35,373,15:00:00
4008335,KSC Eendracht Aalst,Union Saint-Gilloise,2,0,1960,20,1961-02-05,90,10,15:00:00
4008334,Stade Verviétois,Standard Luik,3,3,1960,20,1961-02-05,8,16,15:00:00
4008342,Standard Luik,RFC Luik,2,0,1960,21,1961-02-12,16,4,15:00:00
4008343,Sint-Truidense VV,KSC Eendracht Aalst,2,2,1960,21,1961-02-12,373,90,15:00:00
4008344,Lierse SK (- 2018),RSC Anderlecht,1,2,1960,21,1961-02-12,30,35,15:00:00
4008345,K Patro Eisden,R Antwerp FC,2,0,1960,21,1961-02-12,3434,1,15:00:00
4008346,Royal Beerschot AC,Club Brugge,2,3,1960,21,1961-02-12,3530,3,15:00:00
4008347,Daring Club Brussel,Olympic Charleroi,1,1,1960,21,1961-02-12,2,246,15:00:00
4008349,Union Saint-Gilloise,Stade Verviétois,1,0,1960,21,1961-02-12,10,8,15:00:00
4008348,Association Royale Athlétique Gent,Waterschei SV THOR (- 1988),4,2,1960,21,1961-02-12,7,553,15:00:00
4008350,RSC Anderlecht,Standard Luik,1,1,1960,22,1961-02-19,35,16,15:00:00
4008351,Club Brugge,KSC Eendracht Aalst,2,2,1960,22,1961-02-19,3,90,15:00:00
4008357,Olympic Charleroi,Union Saint-Gilloise,1,0,1960,22,1961-02-19,246,10,15:00:00
4008356,RFC Luik,Sint-Truidense VV,1,0,1960,22,1961-02-19,4,373,15:00:00
4008355,Association Royale Athlétique Gent,Lierse SK (- 2018),1,1,1960,22,1961-02-19,7,30,15:00:00
4008354,Waterschei SV THOR (- 1988),K Patro Eisden,0,2,1960,22,1961-02-19,553,3434,15:00:00
4008353,Royal Beerschot AC,Daring Club Brussel,2,1,1960,22,1961-02-19,3530,2,15:00:00
4008352,Stade Verviétois,R Antwerp FC,2,2,1960,22,1961-02-19,8,1,15:00:00
4008364,K Patro Eisden,RFC Luik,1,3,1960,23,1961-02-26,3434,4,15:00:00
4008363,Union Saint-Gilloise,Daring Club Brussel,3,4,1960,23,1961-02-26,10,2,15:00:00
4008360,Stade Verviétois,RSC Anderlecht,0,2,1960,23,1961-02-26,8,35,15:00:00
4008361,R Antwerp FC,Waterschei SV THOR (- 1988),1,0,1960,23,1961-02-26,1,553,15:00:00
4008358,Standard Luik,Royal Beerschot AC,1,0,1960,23,1961-02-26,16,3530,15:00:00
4008365,Sint-Truidense VV,Lierse SK (- 2018),3,1,1960,23,1961-02-26,373,30,15:00:00
4008359,KSC Eendracht Aalst,Association Royale Athlétique Gent,1,1,1960,23,1961-02-26,90,7,15:00:00
4008362,Club Brugge,Olympic Charleroi,3,0,1960,23,1961-02-26,3,246,15:00:00
4008366,Standard Luik,Club Brugge,2,2,1960,14,1961-03-01,16,3,19:00:00
4008367,Standard Luik,Union Saint-Gilloise,2,0,1960,24,1961-03-05,16,10,15:00:00
4008368,K Patro Eisden,KSC Eendracht Aalst,3,1,1960,24,1961-03-05,3434,90,15:00:00
4008369,Daring Club Brussel,RSC Anderlecht,1,0,1960,24,1961-03-05,2,35,15:00:00
4008370,Lierse SK (- 2018),R Antwerp FC,2,2,1960,24,1961-03-05,30,1,15:00:00
4008371,Royal Beerschot AC,RFC Luik,0,2,1960,24,1961-03-05,3530,4,15:00:00
4008372,Sint-Truidense VV,Club Brugge,4,0,1960,24,1961-03-05,373,3,15:00:00
4008373,Association Royale Athlétique Gent,Stade Verviétois,0,2,1960,24,1961-03-05,7,8,15:00:00
4008374,Olympic Charleroi,Waterschei SV THOR (- 1988),1,1,1960,24,1961-03-05,246,553,15:00:00
4008377,K Patro Eisden,Stade Verviétois,3,2,1960,14,1961-03-12,3434,8,15:00:00
4008378,Lierse SK (- 2018),RFC Luik,1,1,1960,14,1961-03-12,30,4,15:00:00
4008379,Waterschei SV THOR (- 1988),Olympic Charleroi,5,0,1960,11,1961-03-12,553,246,15:00:00
4008376,Club Brugge,Sint-Truidense VV,2,0,1960,11,1961-03-12,3,373,15:00:00
4008375,Union Saint-Gilloise,Standard Luik,0,0,1960,11,1961-03-12,10,16,16:00:00
4008380,Olympic Charleroi,KSC Eendracht Aalst,1,1,1960,14,1961-03-18,246,90,17:00:00
4008382,Stade Verviétois,Royal Beerschot AC,0,0,1960,16,1961-03-19,8,3530,15:00:00
4008381,R Antwerp FC,Lierse SK (- 2018),2,1,1960,11,1961-03-19,1,30,15:00:00
4008390,RFC Luik,Lierse SK (- 2018),2,0,1960,25,1961-03-26,4,30,15:00:00
4008389,Union Saint-Gilloise,Association Royale Athlétique Gent,2,1,1960,25,1961-03-26,10,7,15:00:00
4008388,Stade Verviétois,K Patro Eisden,2,0,1960,25,1961-03-26,8,3434,15:00:00
4008387,Waterschei SV THOR (- 1988),Daring Club Brussel,2,1,1960,25,1961-03-26,553,2,15:00:00
4008385,RSC Anderlecht,Royal Beerschot AC,1,0,1960,25,1961-03-26,35,3530,15:00:00
4008384,KSC Eendracht Aalst,Olympic Charleroi,2,2,1960,25,1961-03-26,90,246,15:00:00
4008386,R Antwerp FC,Sint-Truidense VV,2,0,1960,25,1961-03-26,1,373,15:00:00
4008383,Club Brugge,Standard Luik,1,1,1960,25,1961-03-26,3,16,18:00:00
4008391,RSC Anderlecht,Daring Club Brussel,1,0,1960,11,1961-03-29,35,2,19:30:00
4008393,Olympic Charleroi,Lierse SK (- 2018),0,0,1960,17,1961-04-01,246,30,17:00:00
4008392,Standard Luik,Sint-Truidense VV,1,0,1960,16,1961-04-01,16,373,18:00:00
4008394,Stade Verviétois,Association Royale Athlétique Gent,2,2,1960,11,1961-04-02,8,7,15:00:00
4008399,Lierse SK (- 2018),Club Brugge,6,2,1960,26,1961-04-09,30,3,15:00:00
4008398,Royal Beerschot AC,Waterschei SV THOR (- 1988),0,0,1960,26,1961-04-09,3530,553,15:00:00
4008397,Association Royale Athlétique Gent,RSC Anderlecht,3,1,1960,26,1961-04-09,7,35,15:00:00
4008402,Sint-Truidense VV,Stade Verviétois,1,0,1960,26,1961-04-09,373,8,15:00:00
4008395,Standard Luik,R Antwerp FC,2,0,1960,26,1961-04-09,16,1,15:00:00
4008396,Daring Club Brussel,KSC Eendracht Aalst,0,0,1960,26,1961-04-09,2,90,15:00:00
4008400,K Patro Eisden,Union Saint-Gilloise,1,1,1960,26,1961-04-09,3434,10,15:00:00
4008401,Olympic Charleroi,RFC Luik,0,3,1960,26,1961-04-09,246,4,15:00:00
4008404,Waterschei SV THOR (- 1988),KSC Eendracht Aalst,1,0,1960,27,1961-04-16,553,90,15:00:00
4008405,RSC Anderlecht,Union Saint-Gilloise,3,0,1960,27,1961-04-16,35,10,15:00:00
4008406,Olympic Charleroi,R Antwerp FC,2,0,1960,27,1961-04-16,246,1,15:00:00
4008407,Royal Beerschot AC,K Patro Eisden,3,2,1960,27,1961-04-16,3530,3434,15:00:00
4008408,Association Royale Athlétique Gent,Club Brugge,4,1,1960,27,1961-04-16,7,3,15:00:00
4008403,Lierse SK (- 2018),Standard Luik,0,6,1960,27,1961-04-16,30,16,15:00:00
4008409,Daring Club Brussel,Sint-Truidense VV,0,3,1960,27,1961-04-16,2,373,15:00:00
4008410,RFC Luik,Stade Verviétois,1,0,1960,27,1961-04-16,4,8,15:00:00
4008412,KSC Eendracht Aalst,Royal Beerschot AC,1,1,1960,28,1961-04-23,90,3530,15:00:00
4008411,Standard Luik,Association Royale Athlétique Gent,3,1,1960,28,1961-04-23,16,7,15:00:00
4008418,Sint-Truidense VV,Waterschei SV THOR (- 1988),0,0,1960,28,1961-04-23,373,553,15:00:00
4008417,Union Saint-Gilloise,Lierse SK (- 2018),4,4,1960,28,1961-04-23,10,30,15:00:00
4008416,K Patro Eisden,Olympic Charleroi,2,2,1960,28,1961-04-23,3434,246,15:00:00
4008415,Stade Verviétois,Daring Club Brussel,2,1,1960,28,1961-04-23,8,2,15:00:00
4008414,Club Brugge,RFC Luik,1,1,1960,28,1961-04-23,3,4,15:00:00
4008413,R Antwerp FC,RSC Anderlecht,0,2,1960,28,1961-04-23,1,35,15:00:00
4008424,Daring Club Brussel,Club Brugge,1,0,1960,29,1961-04-30,2,3,15:00:00
4008423,Royal Beerschot AC,Union Saint-Gilloise,3,0,1960,29,1961-04-30,3530,10,15:00:00
4008422,Association Royale Athlétique Gent,R Antwerp FC,1,2,1960,29,1961-04-30,7,1,15:00:00
4008421,RSC Anderlecht,K Patro Eisden,0,1,1960,29,1961-04-30,35,3434,15:00:00
4008420,RFC Luik,KSC Eendracht Aalst,3,1,1960,29,1961-04-30,4,90,15:00:00
4008419,Waterschei SV THOR (- 1988),Standard Luik,1,1,1960,29,1961-04-30,553,16,15:00:00
4008425,Lierse SK (- 2018),Stade Verviétois,1,1,1960,29,1961-04-30,30,8,15:00:00
4008426,Olympic Charleroi,Sint-Truidense VV,1,2,1960,29,1961-04-30,246,373,15:00:00
4008427,Standard Luik,Daring Club Brussel,7,0,1960,30,1961-05-07,16,2,15:00:00
4008428,KSC Eendracht Aalst,Lierse SK (- 2018),1,3,1960,30,1961-05-07,90,30,15:00:00
4008429,Club Brugge,RSC Anderlecht,3,2,1960,30,1961-05-07,3,35,15:00:00
4008430,R Antwerp FC,RFC Luik,3,2,1960,30,1961-05-07,1,4,15:00:00
4008431,Sint-Truidense VV,Royal Beerschot AC,0,0,1960,30,1961-05-07,373,3530,15:00:00
4008432,K Patro Eisden,Association Royale Athlétique Gent,0,5,1960,30,1961-05-07,3434,7,15:00:00
4008433,Stade Verviétois,Olympic Charleroi,0,0,1960,30,1961-05-07,8,246,15:00:00
4008434,Union Saint-Gilloise,Waterschei SV THOR (- 1988),0,1,1960,30,1961-05-07,10,553,15:00:00
4008437,RSC Anderlecht,Association Royale Athlétique Gent,0,5,1960,15,1961-05-11,35,7,15:00:00
4008436,KSC Eendracht Aalst,Daring Club Brussel,1,2,1960,15,1961-05-11,90,2,15:00:00
4008435,R Antwerp FC,Standard Luik,1,4,1960,15,1961-05-11,1,16,15:00:00
4008442,Stade Verviétois,Sint-Truidense VV,1,3,1960,15,1961-05-11,8,373,15:00:00
4008441,RFC Luik,Olympic Charleroi,1,1,1960,15,1961-05-11,4,246,15:00:00
4008440,Union Saint-Gilloise,K Patro Eisden,4,0,1960,15,1961-05-11,10,3434,15:00:00
4008438,Waterschei SV THOR (- 1988),Royal Beerschot AC,2,3,1960,15,1961-05-11,553,3530,15:00:00
4008439,Club Brugge,Lierse SK (- 2018),4,1,1960,15,1961-05-11,3,30,15:00:00
4008443,Association Royale Athlétique Gent,Daring Club Brussel,2,2,1961,1,1961-09-02,7,2,19:30:00
4008449,Union Saint-Gilloise,Club Brugge,1,2,1961,1,1961-09-03,10,3,15:00:00
4008448,Cercle Brugge,KFC Diest,3,1,1961,1,1961-09-03,12,41,15:00:00
4008447,R Antwerp FC,RFC Luik,3,1,1961,1,1961-09-03,1,4,15:00:00
4008446,RSC Anderlecht,Waterschei SV THOR (- 1988),6,1,1961,1,1961-09-03,35,553,15:00:00
4008445,Lierse SK (- 2018),KSC Eendracht Aalst,2,3,1961,1,1961-09-03,30,90,15:00:00
4008444,Standard Luik,Royal Beerschot AC,1,1,1961,1,1961-09-03,16,3530,15:00:00
4008450,Sint-Truidense VV,Olympic Charleroi,3,0,1961,1,1961-09-03,373,246,15:00:00
4008451,Club Brugge,Standard Luik,3,2,1961,2,1961-09-10,3,16,15:00:00
4008452,KSC Eendracht Aalst,Sint-Truidense VV,3,2,1961,2,1961-09-10,90,373,15:00:00
4008453,KFC Diest,RSC Anderlecht,0,3,1961,2,1961-09-10,41,35,15:00:00
4008454,Daring Club Brussel,R Antwerp FC,1,4,1961,2,1961-09-10,2,1,15:00:00
4008455,Royal Beerschot AC,Lierse SK (- 2018),2,2,1961,2,1961-09-10,3530,30,15:00:00
4008456,RFC Luik,Cercle Brugge,3,0,1961,2,1961-09-10,4,12,15:00:00
4008458,Olympic Charleroi,Union Saint-Gilloise,1,0,1961,2,1961-09-10,246,10,15:00:00
4008457,Waterschei SV THOR (- 1988),Association Royale Athlétique Gent,1,3,1961,2,1961-09-10,553,7,15:00:00
4008461,R Antwerp FC,RSC Anderlecht,1,4,1961,3,1961-09-17,1,35,15:00:00
4008466,Lierse SK (- 2018),Waterschei SV THOR (- 1988),2,4,1961,3,1961-09-17,30,553,15:00:00
4008465,Union Saint-Gilloise,RFC Luik,0,0,1961,3,1961-09-17,10,4,15:00:00
4008464,Association Royale Athlétique Gent,KFC Diest,1,0,1961,3,1961-09-17,7,41,15:00:00
4008463,Olympic Charleroi,Cercle Brugge,7,2,1961,3,1961-09-17,246,12,15:00:00
4008462,Sint-Truidense VV,Royal Beerschot AC,1,2,1961,3,1961-09-17,373,3530,15:00:00
4008459,Standard Luik,Daring Club Brussel,1,1,1961,3,1961-09-17,16,2,15:00:00
4008460,Club Brugge,KSC Eendracht Aalst,1,0,1961,3,1961-09-17,3,90,15:00:00
4008474,RFC Luik,Lierse SK (- 2018),1,0,1961,4,1961-09-24,4,30,15:00:00
4008473,Daring Club Brussel,Sint-Truidense VV,1,1,1961,4,1961-09-24,2,373,15:00:00
4008472,Cercle Brugge,Association Royale Athlétique Gent,1,3,1961,4,1961-09-24,12,7,15:00:00
4008471,Royal Beerschot AC,Olympic Charleroi,2,0,1961,4,1961-09-24,3530,246,15:00:00
4008470,Waterschei SV THOR (- 1988),R Antwerp FC,1,1,1961,4,1961-09-24,553,1,15:00:00
4008469,RSC Anderlecht,Club Brugge,2,0,1961,4,1961-09-24,35,3,15:00:00
4008468,KSC Eendracht Aalst,Union Saint-Gilloise,2,0,1961,4,1961-09-24,90,10,15:00:00
4008467,KFC Diest,Standard Luik,0,1,1961,4,1961-09-24,41,16,15:00:00
4008476,KSC Eendracht Aalst,Waterschei SV THOR (- 1988),2,0,1961,5,1961-10-01,90,553,15:00:00
